name,brand,category,trackIMEI,simType,purchasePrice,sellingPrice,gstPercent,stockQuantity,lowStockThreshold,description,images,warrantyPeriod
iPhone 15 Pro,Apple,Mobile Phones,true,Dual SIM,95000,129900,12,10,2,Latest Titanium build with Action button,"https://images.unsplash.com/photo-1696446701796-da61225697cc?w=800,https://images.unsplash.com/photo-1695668386121-7f938c23e87d?w=800",1 Year
Samsung Galaxy S24 Ultra,Samsung,Mobile Phones,true,Dual SIM,110000,139999,12,8,2,AI features with S-Pen support,"https://images.unsplash.com/photo-1610945265064-db137ef2c42c?w=800",1 Year
Pixel 8 Pro,Google,Mobile Phones,true,Single SIM,75000,106999,12,12,3,Best camera experience with Google AI,"https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=800",1 Year
OnePlus 12,OnePlus,Mobile Phones,true,Dual SIM,55000,64999,12,15,5,Smooth performance and fast charging,"https://images.unsplash.com/photo-1621330396173-e41b1cafd17f?w=800",1 Year
Xiaomi 14,Xiaomi,Mobile Phones,true,Dual SIM,60000,69999,12,10,3,Leica Optics professional photography,"https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=800",1 Year
Nothing Phone (2),Nothing,Mobile Phones,true,Dual SIM,40000,44999,12,20,5,Unique glyph interface and clean UI,"https://images.unsplash.com/photo-1678911820864-e2c567c655d7?w=800",1 Year
Motorola Edge 50 Pro,Motorola,Mobile Phones,true,Dual SIM,30000,35999,12,25,5,Premium design with curved display,"https://images.unsplash.com/photo-1616348436168-de43ad0db179?w=800",1 Year
Realme GT 5,Realme,Mobile Phones,true,Dual SIM,32000,39999,12,15,4,Fast performance with 150W charging,"https://images.unsplash.com/photo-1592890288564-76628a30a657?w=800",1 Year
Oppo Reno 11 Pro,Oppo,Mobile Phones,true,Dual SIM,35000,39999,12,12,3,Portrait expert with sleek design,"https://images.unsplash.com/photo-1580910051074-3eb694886505?w=800",1 Year
Vivo V30 Pro,Vivo,Mobile Phones,true,Dual SIM,34000,41999,12,10,3,Slim body with amazing selfie camera,"https://images.unsplash.com/photo-1523206489230-c012c64b2b48?w=800",1 Year
Redmi Note 13 Pro+,Xiaomi,Mobile Phones,true,Dual SIM,28000,31999,12,30,10,Curved display with 200MP camera,"https://images.unsplash.com/photo-1567581935884-3349723552ca?w=800",1 Year
iPhone 13,Apple,Mobile Phones,true,Single SIM,42000,49900,12,20,5,Compact and powerful older flagship,"https://images.unsplash.com/photo-1632661674596-df8be070a5c5?w=800",1 Year
Samsung Galaxy A55,Samsung,Mobile Phones,true,Dual SIM,34000,39999,12,15,5,Water resistant and great screen,"https://images.unsplash.com/photo-1546054454-aa26e2b734c7?w=800",1 Year
POCO F6,Xiaomi,Mobile Phones,true,Dual SIM,25000,29999,12,40,10,Extreme performance for gaming,"https://images.unsplash.com/photo-1556656793-062ff98782ee?w=800",1 Year
Nothing Phone (2a),Nothing,Mobile Phones,true,Dual SIM,22000,25999,12,50,15,Transparent design for mid-range,"https://images.unsplash.com/photo-1678911820864-e2c567c655d7?w=800",1 Year
Moto G84,Motorola,Mobile Phones,true,Single SIM,15000,18999,12,30,10,Best budget phone with 5G,"https://images.unsplash.com/photo-1616348436168-de43ad0db179?w=800",1 Year
Vivo T3 5G,Vivo,Mobile Phones,true,Dual SIM,17000,19999,12,25,8,Decent camera and performance,"https://images.unsplash.com/photo-1523206489230-c012c64b2b48?w=800",1 Year
Realme Narzo 70 Pro,Realme,Mobile Phones,true,Dual SIM,16000,18999,12,20,5,Fast charging and great display,"https://images.unsplash.com/photo-1592890288564-76628a30a657?w=800",1 Year
Oppo F25 Pro,Oppo,Mobile Phones,true,Dual SIM,21000,23999,12,15,5,Lightweight phone with 4K recording,"https://images.unsplash.com/photo-1580910051074-3eb694886505?w=800",1 Year
OnePlus Nord CE 4,OnePlus,Mobile Phones,true,Dual SIM,23000,26999,12,35,10,Great battery life and fast OS,"https://images.unsplash.com/photo-1621330396173-e41b1cafd17f?w=800",1 Year
iPad Air 5,Apple,Tablets,false,None,55000,59900,18,15,5,Powerful M1 chip tablet,"https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=800",1 Year
Samsung Galaxy Tab S9,Samsung,Tablets,true,Single SIM,70000,72999,18,10,2,Dynamic AMOLED 2X display,"https://images.unsplash.com/photo-1542751110-97427bbecf20?w=800",1 Year
XiaoMi Pad 6,Xiaomi,Tablets,false,None,25000,28999,18,20,5,Best value 144Hz tablet,"https://images.unsplash.com/photo-1561154464-82e9adf32764?w=800",1 Year
Apple MagSafe Charger,Apple,Chargers,false,None,3500,4500,18,50,10,Wireless magnetic charging for iPhone,"https://images.unsplash.com/photo-1615526675159-e248c3021d3f?w=800",6 Months
Samsung 25W Wall Adapter,Samsung,Chargers,false,None,800,1299,18,100,20,Original Samsung fast adapter,"https://images.unsplash.com/photo-1608138278545-36561f71dfbc?w=800",6 Months
OnePlus 100W SuperVOOC,OnePlus,Chargers,false,None,2500,3299,18,40,10,Fastest charger for OnePlus devices,"https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=800",6 Months
Xiaomi 67W Charger,Xiaomi,Chargers,false,None,1500,1999,18,60,15,Quick charge for Xiaomi and Redmi,"https://images.unsplash.com/photo-1583863788434-e58a36330cf0?w=800",6 Months
Anker PowerCore 20K,Anker,Power Banks,false,None,4000,5499,18,20,5,High capacity portable power bank,"https://images.unsplash.com/photo-1609592424089-989269786445?w=800",1 Year
Belkin 10K Power Bank,Belkin,Power Banks,false,None,2500,3499,18,30,5,Reliable slim power bank,"https://images.unsplash.com/photo-1609592424089-989269786445?w=800",1 Year
AirPods Pro (2nd Gen),Apple,Wireless Earbuds,false,None,18000,24900,18,15,3,Active noise cancellation with spatial audio,"https://images.unsplash.com/photo-1588423273418-53cb8972ca31?w=800",1 Year
Galaxy Buds2 Pro,Samsung,Wireless Earbuds,false,None,8000,14999,18,20,5,High fidelity sound and seamless sync,"https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=800",1 Year
Sony WF-1000XM5,Sony,Wireless Earbuds,false,None,22000,29990,18,10,2,Industry leading noise cancellation,"https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800",1 Year
